Surname,Count,Rank,Rate,USRank,USTotal,Source
#Last name / Surname,Number of occurrences among people self-identifying as Asian & Pacific Islander,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as 'Asian & Pacific Islander',U.S. Rank,U.S. total occurrences,https://names.mongabay.com/data/asian_pacific_islander.html Derived from US Census Data
SAM,2940,350,30.60%,3413,9600,
YAP,2917,351,81.00%,8424,3603,
SIN,2904,352,87.10%,9011,3335,
MOHAMMED,2901,353,30.30%,3419,9585,
JUN,2888,354,92.20%,9516,3134,
NAIR,2863,355,76.80%,8185,3728,
RANA,2856,356,73.70%,7920,3875,
THOMPSON,2835,357,0.40%,19,644368,
TAYLOR,2809,358,0.40%,13,720370,
CHEA,2797,359,82.20%,8850,3404,
LIEU,2777,360,94.70%,10114,2933,
ROY,2775,361,5.60%,621,49725,
VONG,2774,362,89.50%,9625,3100,
YONG,2762,363,78.10%,8578,3535,
MIRANDA,2760,364,4.10%,437,67646,
IQBAL,2758,365,78.60%,8629,3508,
GOMEZ,2741,366,1.00%,68,263590,
HOU,2735,367,92.50%,10049,2958,
OSHIRO,2731,368,85.30%,9340,3202,
XIAO,2728,369,98.60%,10626,2768,
TAO,2726,370,92.00%,10031,2964,
MEDINA,2717,371,1.90%,176,139353,
SHAIKH,2713,372,82.90%,9163,3273,
JEONG,2713,372,96.00%,10444,2826,
MORALES,2699,374,1.20%,90,217642,
TING,2697,375,88.40%,9782,3050,
GO,2692,376,87.70%,9716,3068,
CHUA,2649,377,91.20%,10193,2904,
BHATIA,2637,378,89.60%,10093,2944,
IGNACIO,2634,379,59.80%,7017,4405,
SASAKI,2633,380,83.80%,9488,3142,
PAUL,2623,381,3.60%,401,72248,
OCAMPO,2619,382,15.10%,1903,17334,
JAVIER,2619,382,39.70%,4891,6594,
DHILLON,2619,382,85.40%,9716,3068,
TSUI,2587,385,94.90%,10748,2725,
MOORE,2585,386,0.40%,16,698671,
HAYASHI,2585,386,82.80%,9550,3123,
ZHONG,2551,388,98.30%,11200,2595,
